Number;Date;Turbidity;pH;Scaled_turbidity;Scaled_pH
0;('2011 1 3', '2011 1 9');27.242857;6.392857;0.615744348;0.402112055
1;('2011 10 18', '2011 10 24');10.071429;7.444286;0.147310993;1
2;('2012 12 11', '2012 12 17');23.842857;6.45;0.522992982;0.434606033
3;('2013 1 15', '2013 1 21');32.542857;6.242857;0.76032736;0.316815575
4;('2013 10 30', '2013 11 5');19.714286;6.341429;0.410366335;0.372867872
5;('2013 12 24', '2013 12 30');17.514286;6.848571;0.350350745;0.661250719
6;('2014 11 19', '2014 11 25');22.557143;6.442857;0.487918944;0.430544214
7;('2014 11 26', '2014 12 1');10.671429;6.55;0.163678881;0.491470352
8;('2015 1 27', '2015 2 2');25.257143;6.578571;0.56157444;0.507717057
9;('2015 12 29', '2016 1 4');4.671429;6.742857;0;0.601137173
10;('2016 2 9', '2016 2 15');12.9;6.458571;0.224473883;0.439479873
11;('2017 2 1', '2017 2 7');17.9;5.704286;0.360872951;0.010560841
12;('2017 12 6', '2017 12 12');29.171429;6.547143;0.668355433;0.489845738
13;('2018 12 19', '2018 12 25');13.357143;6.642857;0.236944659;0.544272853
14;('2019 1 30', '2019 2 5');19.2;6.642857;0.396336708;0.544272853
15;('2019 11 7', '2019 11 13');22.942857;6.428571;0.49844115;0.422420578
16;('2019 11 14', '2019 11 20');25.314286;6.4;0.563133291;0.406173873
17;('2019 11 21', '2019 11 27');32.571429;6.657143;0.761106799;0.55239649
18;('2019 12 11', '2019 12 17');21.728571;6.614286;0.465315654;0.528026148
19;('2019 12 18', '2019 12 24');37.528571;6.5;0.896336708;0.463038192
20;('2020 9 19', '2020 9 25');9.7;7.4;0.137178479;0.974817067
21;('2020 12 10', '2020 12 16');24.671429;5.685714;0.545596272;0
